BE-eV	Intensity
5.240025	253.159125
5.250025	244.31
5.260026	243.9007
5.270026	244.267325
5.280026	239.637225
5.290026	240.741025
5.300026	257.462125
5.310027	314.669025
5.320027	377.736975
5.330027	424.971275
5.340027	495.464825
5.350028	593.3479
5.360028	718.3179
5.370028	840.843525
5.380028	909.41885
5.390028	914.656575
5.400029	893.184075
5.410029	862.35385
5.420029	792.964175
5.430029	722.941375
5.44003	681.040575
5.45003	647.5081
5.46003	672.8531
5.47003	746.205275
5.480031	802.968175
5.490031	864.81405
5.500031	944.38555
5.510031	984.2969
5.520031	945.8093
5.530032	892.4983
5.540032	845.156475
5.550032	775.5502
5.560032	715.077625
5.570033	670.632725
5.580033	640.529725
5.590033	654.907075
5.600033	698.8496
5.610034	764.294325
5.620034	839.043725
5.630034	852.596075
5.640034	811.79745
5.650034	787.4864
5.660035	781.756425
5.670035	762.6919
5.680035	734.261725
5.690035	701.84015
5.700036	684.450325
5.710036	672.70345
5.720036	656.881625
5.730036	654.7817
5.740036	663.30595
5.750037	677.64495
5.760037	712.34935
5.770037	768.625225
5.780037	813.67555
5.790038	889.621075
5.800038	986.28075
5.810038	999.2902
5.820038	944.3246
5.830039	873.838825
5.840039	787.53765
5.850039	734.91475
5.860039	709.27665
5.870039	666.17175
5.88004	673.9449
5.89004	740.1385
5.90004	804.032775
5.91004	859.302475
5.920041	894.694075
5.930041	933.1147
5.940041	986.4603
5.950041	1013.5535
5.960042	986.064025
5.970042	918.6787
5.980042	903.692575
5.990042	930.22845
6.000042	927.85645
6.010043	940.857225
6.020043	987.4228
6.030043	999.872075
6.040043	959.66645
6.050044	952.4661
6.060044	996.7295
6.070044	1010.135025
6.080044	1008.93305
6.090044	1019.243125
6.100045	965.09755
6.110045	931.3898
6.120045	975.993525
6.130045	981.78245
6.140046	956.68715
6.150046	963.2764
6.160046	1027.780775
6.170046	1104.3945
6.180047	1106.5775
6.190047	1092.6955
6.200047	1122.6035
6.210047	1130.9085
6.220047	1143.01125
6.230048	1147.66025
6.240048	1041.15345
6.250048	905.17405
6.260048	839.636875
6.270049	808.34415
6.280049	751.814
6.290049	670.706775
6.300049	577.802425
6.31005	486.84515
6.32005	402.645625
6.33005	283.2103
6.34005	165.90016
6.35005	96.175165
6.360051	72.9969075
6.370051	58.01572375
6.380051	25.991375
6.390051	25.97416375
6.400052	49.742685
6.410052	29.443685
6.420052	1.177205
6.430052	27.37942
6.440053	20.545035
6.450053	-23.634185
6.460053	-38.1821275
6.470053	-48.046555
6.480053	-67.9357575
6.490054	-89.9727375
6.500054	-83.7538075
6.510054	-36.6003625
6.520054	5.35342
6.530055	-2.684705
6.540055	5.169075
6.550055	34.670625
6.560055	12.65680225
6.570055	2.824787
6.580056	38.72793475
6.590056	59.09497
6.600056	21.570775
6.610056	-29.1634975
6.620057	-38.7855975
6.630057	-12.9576375
6.640057	21.7882575
6.650057	34.719865

