be	'sm-int'
4.599989	201.3565
4.607989	199.612
4.615989	186.032675
4.623989	170.82595
4.631989	173.087
4.639988	186.535
4.647988	204.2712
4.655988	220.558425
4.663988	233.670625
4.671988	266.95225
4.679988	315.154925
4.687988	351.96375
4.695988	388.3791
4.703988	440.7283
4.711987	504.2961
4.719987	557.229175
4.727987	579.288825
4.735987	576.9844
4.743987	567.47545
4.751987	539.9964
4.759987	477.019675
4.767987	400.343075
4.775987	336.92695
4.783987	294.6208
4.791986	274.647575
4.799986	255.66255
4.807986	226.47955
4.815986	213.015075
4.823986	211.65135
4.831986	205.849425
4.839986	212.277225
4.847986	211.7294
4.855986	191.25675
4.863986	194.62515
4.871985	222.1885
4.879985	238.597475
4.887985	252.955325
4.895985	298.62855
4.903985	353.73855
4.911985	391.1748
4.919985	440.3622
4.927985	495.425275
4.935985	552.40675
4.943985	626.04165
4.951984	659.4061
4.959984	622.2568
4.967984	573.8044
4.975984	526.656725
4.983984	451.05685
4.991984	377.410175
4.999984	325.156575
5.007984	299.785125
5.015984	307.133925
5.023983	307.85085
5.031983	279.378775
5.039983	237.730425
5.047983	214.183375
5.055983	228.8948
5.063983	257.226475
5.071983	264.73495
5.079983	257.597225
5.087983	242.8056
5.095983	222.205975
5.103982	221.976775
5.111982	247.270925
5.119982	257.2831
5.127982	233.280225
5.135982	218.967175
5.143982	233.2036
5.151982	256.79415
5.159982	273.09185
5.167982	290.23525
5.175982	318.830625
5.183981	341.986575
5.191981	375.35925
5.199981	412.190325
5.207981	429.643325
5.215981	446.90315
5.223981	477.080625
5.231981	497.906875
5.239981	472.2093
5.247981	431.6112
5.25598	409.709
5.26398	390.47
5.27198	387.525025
5.27998	403.94855
5.28798	424.042
5.29598	446.1609
5.30398	477.24265
5.31198	498.76105
5.31998	496.3543
5.32798	494.036525
5.335979	476.905775
5.343979	432.80925
5.351979	398.591375
5.359979	392.387775
5.367979	405.805475
5.375979	420.8223
5.383979	417.846475
5.391979	449.943425
5.399979	541.338
5.407979	617.92655
5.415978	671.59645
5.423978	730.519175
5.431978	754.3748
5.439978	750.114525
5.447978	790.415975
5.455978	827.5442
5.463978	805.5627
5.471978	767.373525
5.479978	739.264475
5.487978	730.141725
5.495977	722.2695
5.503977	704.552725
5.511977	732.17305
5.519977	809.81065
5.527977	872.2478
5.535977	888.06045
5.543977	877.71045
5.551977	863.176875
5.559977	835.196225
5.567976	787.793075
5.575976	697.6545
5.583976	587.66775
5.591976	558.967225
5.599976	592.90755
5.607976	567.764375
5.615976	553.8412
5.623976	639.6375
5.631976	719.198275
5.639976	746.0163
5.647975	775.366125
5.655975	832.282175
5.663975	898.451425
5.671975	933.542225
5.679975	950.200975
5.687975	963.85225
5.695975	950.231675
5.703975	954.2569
5.711975	962.406825
5.719975	936.36105
5.727974	930.617025
5.735974	973.224
5.743974	1021.297375
5.751974	1022.4195
5.759974	1024.413875
5.767974	1064.595
5.775974	1084.6775
5.783974	1054.9665
5.791974	981.901525
5.799973	897.60345
5.807973	847.264325
5.815973	833.508975
5.823973	811.3622
5.831973	780.533425
5.839973	781.702525
5.847973	822.1655
5.855973	894.02855
5.863973	928.088175
5.871973	903.39205
5.879972	856.43275
5.887972	839.747325
5.895972	901.436325
5.903972	1002.6876
5.911972	1084.68325
5.919972	1088.4525
5.927972	1063.07125
5.935972	1057.281575
5.943972	987.164625
5.951972	908.678975
5.959971	927.306025
5.967971	993.97175
5.975971	1033.4714
5.983971	1022.54945
5.991971	1031.36515
5.999971	1065.75495
6.007971	1055.16575
6.015971	1039.811
6.023971	1016.38135
6.031971	981.96745
6.03997	1009.4261
6.04797	1061.7105
6.05597	1077.20975
6.06397	1070.89125
6.07197	1050.1577
6.07997	1035.8544
6.08797	1068.68495
6.09597	1105.56875
6.10397	1095.42225
6.111969	1021.37345
6.119969	952.5229
6.127969	980.03245
6.135969	1034.0335
6.143969	1056.513
6.151969	1060.85475
6.159969	1055.348
6.167969	1012.8711
6.175969	965.6617
6.183969	963.636175
6.191968	972.1514
6.199968	964.966475
6.207968	907.96115
6.215968	859.647075
6.223968	874.93
6.231968	868.859975
6.239968	792.683425
6.247968	748.307175
6.255968	776.229125
6.263968	794.339825
6.271967	791.762575
6.279967	790.661525
6.287967	786.59895
6.295967	783.98965
6.303967	763.015125
6.311967	706.35145
6.319967	677.7029
6.327967	666.073625
6.335967	614.97605
6.343966	561.2021
6.351966	533.2294
6.359966	503.595775
6.367966	435.590975
6.375966	365.94205
